,,,,final_accuracy,final_accuracy,accuracy_change,accuracy_change,parameter_reduction_pct,parameter_reduction_pct,mac_reduction_pct,mac_reduction_pct,speedup,speedup
,,,,mean,std,mean,std,mean,std,mean,std,mean,std
dataset,architecture,method,target_prune_rate,,,,,,,,,,
MNIST,ResNet20,Adaptive-Magnitude,0.4,99.36,,0.01,,36.277,,34.937,,0.978,
MNIST,ResNet20,Adaptive-Magnitude,0.5,99.5,,0.15,,44.339,,43.444,,0.954,
MNIST,ResNet20,E-HRAP,0.1,99.39,,0.04,,7.742,,6.869,,0.892,
MNIST,ResNet20,E-HRAP,0.2,99.39,,0.04,,17.554,,16.331,,0.926,
MNIST,ResNet20,E-HRAP,0.3,99.46,,0.11,,26.783,,25.884,,0.926,
MNIST,ResNet20,E-HRAP,0.4,99.48,,0.13,,36.435,,34.118,,0.983,
MNIST,ResNet20,E-HRAP,0.5,99.47,,0.12,,45.452,,44.126,,0.965,
MNIST,ResNet20,Uniform-Magnitude,0.1,99.43,,0.08,,9.069,,8.188,,0.93,
MNIST,ResNet20,Uniform-Magnitude,0.2,99.43,,0.08,,18.457,,18.56,,0.953,
MNIST,ResNet20,Uniform-Magnitude,0.3,99.52,,0.17,,28.692,,27.249,,0.91,
MNIST,ResNet20,Uniform-Magnitude,0.4,99.49,,0.14,,38.081,,37.621,,0.949,
MNIST,ResNet20,Uniform-Magnitude,0.5,99.42,,0.07,,49.219,,49.494,,0.998,
MNIST,SimpleCNN,Adaptive-Correlation,0.1,99.42,,0.07,,9.904,,13.709,,0.999,
MNIST,SimpleCNN,Adaptive-Correlation,0.2,99.51,,0.16,,19.016,,27.338,,0.938,
MNIST,SimpleCNN,Adaptive-Correlation,0.3,99.43,,0.08,,27.795,,40.824,,1.037,
MNIST,SimpleCNN,Adaptive-Correlation,0.4,99.47,,0.12,,40.086,,52.486,,0.995,
MNIST,SimpleCNN,Adaptive-Correlation,0.5,99.51,,0.16,,50.563,,63.92,,1.053,
MNIST,SimpleCNN,Adaptive-Magnitude,0.1,99.46,,0.11,,10.449,,14.57,,1.265,
MNIST,SimpleCNN,Adaptive-Magnitude,0.2,99.5,,0.15,,21.507,,29.017,,0.95,
MNIST,SimpleCNN,Adaptive-Magnitude,0.3,99.49,,0.14,,30.282,,40.787,,1.045,
MNIST,SimpleCNN,Adaptive-Magnitude,0.4,99.49,,0.14,,42.552,,52.467,,1.026,
MNIST,SimpleCNN,Adaptive-Magnitude,0.5,99.44,,0.09,,50.697,,62.893,,1.015,
MNIST,SimpleCNN,E-HRAP,0.1,99.49,,0.14,,9.264,,14.015,,0.994,
MNIST,SimpleCNN,E-HRAP,0.2,99.48,,0.13,,18.158,,27.021,,1.007,
MNIST,SimpleCNN,E-HRAP,0.3,99.46,,0.11,,31.344,,40.693,,0.996,
MNIST,SimpleCNN,E-HRAP,0.4,99.53,,0.18,,39.593,,50.355,,0.953,
MNIST,SimpleCNN,E-HRAP,0.5,99.52,,0.17,,48.94,,62.716,,1.004,
MNIST,SimpleCNN,Uniform-Magnitude,0.1,99.46,,0.11,,10.994,,17.49,,0.972,
MNIST,SimpleCNN,Uniform-Magnitude,0.2,99.48,,0.13,,22.179,,34.061,,0.978,
MNIST,SimpleCNN,Uniform-Magnitude,0.3,99.5,,0.15,,32.731,,49.168,,1.061,
MNIST,SimpleCNN,Uniform-Magnitude,0.4,99.48,,0.13,,43.312,,61.981,,0.866,
MNIST,SimpleCNN,Uniform-Magnitude,0.5,99.47,,0.12,,53.613,,73.329,,1.022,
MNIST,VGG11BN,Adaptive-Correlation,0.1,99.42,,0.1,,18.126,,17.429,,0.822,
MNIST,VGG11BN,Adaptive-Correlation,0.2,99.43,,0.11,,34.815,,33.679,,0.875,
MNIST,VGG11BN,Adaptive-Correlation,0.3,99.46,,0.14,,49.719,,48.108,,0.9,
MNIST,VGG11BN,Adaptive-Correlation,0.4,99.45,,0.13,,61.979,,60.396,,0.905,
MNIST,VGG11BN,Adaptive-Correlation,0.5,99.52,,0.2,,73.362,,71.459,,0.93,
MNIST,VGG11BN,Adaptive-Magnitude,0.1,99.45,,0.13,,18.081,,17.22,,0.854,
MNIST,VGG11BN,Adaptive-Magnitude,0.2,99.58,,0.26,,33.94,,33.411,,0.876,
MNIST,VGG11BN,Adaptive-Magnitude,0.3,99.32,,0.0,,49.586,,48.109,,0.869,
MNIST,VGG11BN,Adaptive-Magnitude,0.4,99.36,,0.04,,62.205,,60.35,,1.045,
MNIST,VGG11BN,Adaptive-Magnitude,0.5,99.46,,0.14,,71.545,,71.074,,0.913,
MNIST,VGG11BN,E-HRAP,0.1,99.46,,0.14,,17.613,,17.154,,0.911,
MNIST,VGG11BN,E-HRAP,0.2,99.37,,0.05,,34.289,,33.138,,0.895,
MNIST,VGG11BN,E-HRAP,0.3,99.35,,0.03,,48.033,,47.057,,0.89,
MNIST,VGG11BN,E-HRAP,0.4,99.41,,0.09,,61.972,,59.91,,0.915,
MNIST,VGG11BN,E-HRAP,0.5,99.4,,0.08,,72.629,,71.1,,0.965,
MNIST,VGG11BN,Uniform-Magnitude,0.1,99.37,,0.05,,18.843,,18.563,,0.877,
MNIST,VGG11BN,Uniform-Magnitude,0.2,99.51,,0.19,,35.835,,35.612,,0.872,
MNIST,VGG11BN,Uniform-Magnitude,0.3,99.38,,0.06,,50.764,,50.599,,0.911,
MNIST,VGG11BN,Uniform-Magnitude,0.4,99.42,,0.1,,63.779,,63.657,,0.981,
MNIST,VGG11BN,Uniform-Magnitude,0.5,99.54,,0.22,,74.97,,74.902,,0.993,
SVHN,ResNet20,Adaptive-Correlation,0.1,95.751,,0.557,,8.264,,7.316,,0.932,
SVHN,ResNet20,Adaptive-Correlation,0.2,95.882,,0.688,,17.323,,15.852,,0.927,
SVHN,ResNet20,Adaptive-Correlation,0.3,95.778,,0.584,,27.019,,25.2,,0.936,
SVHN,ResNet20,Adaptive-Correlation,0.4,95.824,,0.63,,36.185,,35.0,,0.98,
SVHN,ResNet20,Adaptive-Correlation,0.5,95.87,,0.676,,45.192,,43.039,,0.965,
SVHN,ResNet20,Adaptive-Magnitude,0.1,95.943,,0.749,,8.106,,7.452,,0.934,
SVHN,ResNet20,Adaptive-Magnitude,0.2,95.855,,0.661,,17.589,,16.439,,0.958,
SVHN,ResNet20,Adaptive-Magnitude,0.3,95.79,,0.595,,26.437,,25.155,,0.953,
SVHN,ResNet20,Adaptive-Magnitude,0.4,95.974,,0.78,,36.185,,34.052,,0.989,
SVHN,ResNet20,Adaptive-Magnitude,0.5,95.732,,0.538,,45.457,,43.626,,0.96,
SVHN,ResNet20,E-HRAP,0.1,96.055,,0.86,,7.734,,6.819,,0.94,
